Time,Longitude,Latitude,Altitude,Roll,Pitch,Heading
109.883,-122.4163515,37.63670158,1701.662977,-1.369372507,12.13570197,293.2805094
110.892,-122.4176134,37.63712914,1752.503417,-3.040312855,11.59053556,293.0640029
111.9,-122.4188725,37.63755148,1799.231035,-3.497447173,11.11566033,293.7690453
112.9,-122.4201195,37.63796359,1842.81135,-2.616041062,11.72771521,294.24427
113.892,-122.4213724,37.63837291,1888.218099,-2.169712808,14.20853149,294.3571101
114.9,-122.4226605,37.63879052,1936.745852,-1.368224738,8.12988825,294.4802392
115.883,-122.4238966,37.63919246,1951.170597,-1.273945367,-12.43673672,294.9015946
116.883,-122.4251869,37.63961522,1915.106271,-1.225620788,-12.06932942,294.7878949
117.9,-122.4265027,37.64004853,1842.813985,-1.629466432,-4.306223629,294.5159303
118.883,-122.4278031,37.64047664,1766.340189,-1.685900897,-2.573711111,294.3514481
119.867,-122.4291474,37.64091678,1706.921425,-1.603159345,6.065732299,293.9914788
120.875,-122.4305439,37.64137068,1674.230088,-1.79129887,7.689029503,293.8584255
121.867,-122.4319271,37.64181483,1680.807933,-1.741728001,17.8230715,293.4454978
122.867,-122.4333154,37.6422545,1730.04618,-1.891386532,19.36001559,293.3241942
123.858,-122.4346852,37.64268267,1808.670922,-2.019044965,18.08137359,293.2877943
124.858,-122.4360254,37.64309692,1902.4243,-2.181676769,20.53706303,293.0904131
125.858,-122.4373548,37.64350275,2012.014615,-2.37467369,23.92073202,292.8216019
126.892,-122.4386893,37.64390416,2140.221433,-2.684305202,24.29372615,292.6599665
127.883,-122.4399697,37.64428442,2270.840395,-3.068752218,21.19603698,292.6503701
128.867,-122.4412294,37.64465519,2395.028945,-3.413875468,19.42862741,292.5449839
129.892,-122.4425167,37.64503101,2513.177407,-3.798773957,19.09291799,292.3270374
130.867,-122.4437582,37.64538969,2620.285062,-3.356387636,19.08690794,292.0524294
131.867,-122.4450277,37.6457526,2724.122218,-2.517584471,18.08663692,291.8423176
132.883,-122.4462845,37.64610915,2820.275378,-1.89805075,16.87365616,291.7194259
133.858,-122.4475086,37.6464545,2907.851342,-2.153439929,17.02843348,291.6309387
134.858,-122.4487729,37.64680879,2994.032227,-2.141448821,17.0591803,291.5477467
135.892,-122.4500574,37.64716621,3076.716706,-0.9954103753,15.55173546,291.4909376
136.883,-122.4512989,37.64751048,3153.13072,-0.273545396,16.58640089,291.4407824
137.858,-122.4525161,37.6478478,3228.095835,0.2215182487,18.04048622,291.4663907
138.858,-122.4537812,37.64819897,3306.553744,0.6160152572,16.10602349,291.5554415
139.867,-122.4550223,37.64854501,3381.182542,-1.64380595,15.83771043,291.7387361
140.867,-122.4562596,37.64888798,3456.656805,-3.585190393,19.56617715,291.6343723
141.858,-122.4574786,37.64921962,3538.797931,-4.893501153,21.94090671,291.2153802
142.858,-122.4586954,37.64954144,3631.472366,-5.592191254,22.80870158,290.5822842
143.867,-122.4599101,37.64985292,3731.411646,-5.286591009,21.67847517,289.9922167
144.875,-122.4611178,37.65015511,3830.255785,-4.673285675,18.89105767,289.6288316
145.875,-122.4623219,37.65045054,3924.626011,-3.830195217,19.52388987,289.1012213
146.858,-122.4634836,37.65073061,4012.620589,-2.753882578,20.1241421,288.741804
147.883,-122.4646918,37.65101791,4101.465367,-1.459535583,18.54725793,288.6691721
148.867,-122.4658803,37.65129854,4182.006269,-1.045654746,15.36001879,288.8084931
149.875,-122.4670739,37.65157965,4250.785859,-1.089733007,12.52860775,288.9942867
150.858,-122.4682554,37.65185749,4306.3295,-1.258100155,12.26783532,289.0973734
151.883,-122.4694951,37.65214833,4355.466913,-1.403538379,13.15133376,289.1026658
152.875,-122.4707014,37.65243031,4398.723546,-1.560882248,13.01312575,289.0546727
153.875,-122.4719349,37.65271741,4439.536434,-1.705672986,11.88640411,288.973233
154.867,-122.4731559,37.65300042,4475.216335,-1.83054885,10.52539031,288.8688532
155.875,-122.4743971,37.65328705,4504.495528,-1.82636872,8.620128777,288.7696781
156.858,-122.4756294,37.65357074,4524.817663,-1.559338055,7.038107081,288.6663134
157.867,-122.4769064,37.65386396,4537.966127,-1.170065341,7.220585213,288.5377105
158.875,-122.4781975,37.6541599,4546.302552,-1.491998086,7.455147066,288.4716016
159.867,-122.4794807,37.65445291,4553.155266,-1.293926039,7.760440354,288.4016059
160.875,-122.4808106,37.6547558,4556.666031,-1.620412217,4.783755896,288.4293343
161.883,-122.4821335,37.65505682,4550.995477,-2.292505101,1.093885317,288.501209
162.858,-122.4834498,37.65535638,4527.281986,-2.42974872,-3.554672527,288.5734793
163.867,-122.4848191,37.65566747,4488.932593,-2.470704041,0.5501766823,288.2488637
164.875,-122.4862123,37.65598187,4448.495949,-2.383749758,2.762785399,287.988956
165.858,-122.4875936,37.65629118,4410.971656,-2.277556573,-0.06963335732,287.9541255
166.875,-122.4890309,37.65661122,4369.271738,-2.386058611,-1.4871253,287.8820546
167.858,-122.4904535,37.65692652,4322.417045,-2.325635302,-1.785345208,287.7714237
168.875,-122.4919471,37.65725585,4269.760363,-2.228534556,-1.388070121,287.6357056
169.858,-122.4934271,37.65758028,4217.255614,-2.137123255,-1.160990328,287.5213891
170.875,-122.4949678,37.65791596,4164.704926,-2.043961624,-0.3958172499,287.3979957
171.867,-122.4964672,37.65824041,4119.249063,-1.955057589,1.336205487,287.2560641
172.858,-122.4980126,37.65857242,4080.856346,-1.806445726,1.847665364,287.1655165
173.858,-122.4996021,37.65891174,4048.711291,-1.630599816,1.687265492,287.10962
174.875,-122.5012209,37.65925553,4021.682499,-1.690704342,2.805999671,287.0333698
175.858,-122.5028136,37.65959176,4003.631663,-1.740484214,4.968718598,286.9199594
176.875,-122.5044304,37.65993045,3998.293455,-1.700445766,6.783736614,286.8050903
177.875,-122.5060808,37.66027336,4007.110269,-1.658274808,7.62349136,286.718403
178.867,-122.5076937,37.66060605,4026.303163,-1.616800069,7.781196374,286.656619
179.867,-122.5093218,37.66093976,4052.814977,-1.5766738,8.346544856,286.5857874
180.858,-122.5109364,37.66126873,4085.360554,-1.538586199,9.205242907,286.509971
181.867,-122.5125907,37.6616038,4124.697624,-1.564480825,9.277448256,286.4583947
182.875,-122.514203,37.66192869,4165.952325,-1.721101691,8.680691154,286.4265112
